,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
IND,1407563842,0.09541695937514305,134305461,0.258495,258494.99999999997
BRA,214326223,0.27031342312693596,57935255,0.111507,111507.0
CHN,1425893464,0.03197299383464269,45590082,0.087746,87746.0
IDN,273753191,0.15059901773929596,41226961,0.079349,79349.0
YEM,32981641,0.9471656829118729,31239078,0.060125,60125.0
MEX,126705138,0.2080513760447502,26361178,0.050737,50737.0
EGY,109262178,0.20081313699483871,21941280,0.04223,42230.0
NGA,213401323,0.08884916640818119,18960529,0.036493,36493.0
PAK,231402116,0.06528401095420122,15106858,0.029076,29076.0
DZA,44177969,0.3400915786623955,15024555,0.028917,28917.0
KEN,53005614,0.20694705843925476,10969355,0.021112,21112.0
ARG,45276780,0.15961973369121552,7227067,0.01391,13910.0
VNM,97468028,0.07398104667663574,7210786,0.013878,13878.0
COD,95894118,0.06704861100297421,6429567,0.012375,12375.0
USA,336997624,0.018702379893511534,6302657,0.012131,12131.0
COL,51516562,0.09660593792796135,4976805,0.009579,9579.0
UGA,45853778,0.10295615345239639,4720928,0.009086,9086.0
ESP,47486935,0.08823088556528091,4189814,0.008064,8064.0
TWN,23859912,0.16054973180871457,3830702,0.007373,7373.0
CMR,27198628,0.11732190661132336,3190994,0.006142,6142.0
ECU,17797737,0.16388399340212345,2916764,0.005614,5614.0
ROU,19328560,0.15053248405456543,2909576,0.0056,5600.0
ZAF,59392255,0.04822858516126871,2864404,0.005513,5513.0
POL,38307726,0.07016265578567982,2687771,0.005173,5173.0
TUN,12262946,0.21465740352869034,2632332,0.005066,5066.0
SWE,10467097,0.24850157648324966,2601090,0.005006,5006.0
THA,71601103,0.03466496150940657,2482049,0.004777,4777.0
NIC,6850540,0.30909278616309166,2117452,0.004075,4074.9999999999995
GRC,10445365,0.20044505968689919,2093721,0.00403,4029.9999999999995
HND,10278346,0.17535197921097279,1802328,0.003469,3469.0
CZE,10510750,0.15645064786076546,1644413,0.003165,3165.0
KHM,16589023,0.09291185822803527,1541316,0.002967,2967.0
BFA,22100683,0.06944333389401436,1534745,0.002954,2954.0
TUR,84775404,0.01789793628267944,1517304,0.00292,2920.0
CIV,27478249,0.045687264297157526,1255406,0.002416,2416.0
TGO,8644829,0.13916575629264116,1203064,0.002316,2316.0
DOM,11117874,0.09712269343435764,1079797,0.002078,2078.0
JOR,11148278,0.08972927834838629,1000326,0.001925,1925.0
SLE,8420641,0.11075417418032885,932621,0.001795,1795.0
BIH,3270943,0.25993990153074265,850248,0.001636,1636.0
HTI,11447569,0.07405813317745924,847785,0.001632,1632.0
ISR,9291000,0.08469530940055847,786904,0.001515,1515.0
BOL,12079472,0.05741486791521311,693541,0.001335,1335.0
MYS,33573874,0.01911038381513208,641609,0.001235,1235.0
SAU,35950396,0.017791587975807488,639614,0.001231,1231.0
AUS,25921089,0.02442979020997882,633246,0.001219,1219.0
HRV,4060135,0.14306164160370827,580849,0.001118,1118.0
SSD,10748272,0.053390953689813614,573860,0.001104,1104.0
LKA,21773441,0.025928373681381345,564549,0.001087,1087.0
MDG,28915653,0.018842513673007488,544843,0.001049,1049.0
VEN,28199866,0.018786521162837744,529777,0.00102,1020.0000000000001
TTO,1525663,0.3324909210205078,507269,0.000976,976.0
KOR,51830139,0.009722380433231592,503912,0.00097,970.0
MOZ,32077072,0.015428348677232862,494896,0.000953,953.0
LAO,7425058,0.06496190535835922,482345,0.000928,928.0
SVK,5447622,0.06931197084486485,377585,0.000727,727.0
ERI,3620312,0.10052426159381866,363929,0.0007,700.0
AUT,8922082,0.03814844414591789,340363,0.000655,655.0
JAM,2827694,0.10636720876209438,300773,0.000579,579.0
PRY,6703799,0.0403712410479784,270640,0.000521,521.0
MKD,2103330,0.1283986046910286,270064,0.00052,520.0
PRT,10290103,0.024085279554128647,247840,0.000477,477.0
SVN,2119410,0.11448431387543678,242639,0.000467,467.0
BGR,6885868,0.03407523315399885,234637,0.000452,452.0
MMR,53798084,0.004265638068318367,229483,0.000442,442.0
LBN,5592631,0.04071214608848095,227688,0.000438,438.0
LSO,2281454,0.0985654667019844,224872,0.000433,433.0
NZL,5129728,0.04378134896978736,224586,0.000432,432.0
CAF,5457154,0.036447727121412754,198900,0.000383,383.0
GEO,3757980,0.04943406116217375,185772,0.000358,358.0
FIN,5535992,0.03198291175067425,177057,0.000341,341.0
BHS,407906,0.41256509721279144,168287,0.000324,324.0
BLZ,400031,0.41129570454359055,164531,0.000317,317.0
RWA,13461888,0.011863308725878596,159702,0.000307,307.0
MDA,3061506,0.05059558525681496,154898,0.000298,298.0
KWT,4250114,0.031179380137473345,132515,0.000255,255.00000000000003
OMN,4520471,0.029000887749134563,131097,0.000252,252.0
SUR,612984,0.1826220005750656,111944,0.000215,215.0
ALB,2854710,0.033823746955022216,96556,0.000186,186.0
CRI,5153957,0.017603704109205864,90728,0.000175,175.0
VUT,319136,0.25000000000326916,79784,0.000154,154.0
PSE,5133392,0.014236736184102483,73082,0.000141,141.0
BEL,11611420,0.005961339920759201,69219,0.000133,133.0
MLT,526748,0.11154619604349136,58756,0.000113,113.0
NAM,2530151,0.021649687085300684,54776,0.000105,105.0
ATG,93220,0.5439198762178421,50704,9.8e-05,98.0
KNA,47606,1.0,47606,9.2e-05,92.0
IMN,84263,0.5113904699683189,43091,8.3e-05,83.0
BRB,281200,0.13198558241128922,37114,7.1e-05,71.0
GNQ,1634466,0.022403643932193518,36617,7e-05,70.0
MNE,627859,0.05659289564937353,35532,6.8e-05,68.0
EST,1328701,0.021551532670855522,28635,5.5e-05,55.0
GIN,13531906,0.0016081684734672308,21761,4.2e-05,42.0
ARM,2790974,0.007569911365862936,21127,4.1e-05,41.0
ABW,106536,0.16888660192489624,17992,3.5e-05,35.0
LUX,639321,0.025102734565734863,16048,3.1e-05,31.0
LBY,6735277,0.0019156529451720417,12902,2.5e-05,25.0
NOR,5403021,0.0018840250559151173,10179,2e-05,20.0
MDV,521458,0.020070630125701427,10465,2e-05,20.0
TLS,1320942,0.007518418598920107,9931,1.9e-05,19.0
TCA,45114,0.20616642758250237,9300,1.8e-05,18.0
TCD,17179740,0.000495309941470623,8509,1.6e-05,16.0
ISL,370335,0.020991020370274782,7773,1.5e-05,15.0
LVA,1873919,0.0039545465260744095,7410,1.4e-05,14.0
LCA,179652,0.040278613567352295,7236,1.4e-05,14.0
