,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
IND,1407563842,0.4576090518385172,644113955,0.338194,338194.0
BRA,214326223,1.0,214326223,0.112533,112533.0
IDN,273753191,0.6450747046619654,176591258,0.09272,92720.0
MEX,126705138,0.7253213413059711,91901940,0.048253,48253.0
EGY,109262178,0.7693216130137444,84057755,0.044135,44135.0
NGA,213401323,0.39300326257944107,83867416,0.044035,44035.0
PAK,231402116,0.24052648339420557,55658337,0.029224,29224.0
VNM,97468028,0.5545805841684341,54053875,0.028381,28381.0
KEN,53005614,0.959388030692935,50852951,0.0267,26700.0
DZA,44177969,1.0,44177969,0.023196,23196.0
YEM,32981641,1.0,32981641,0.017317,17317.0
ARG,45276780,0.7263897564262152,32888589,0.017268,17268.0
UGA,45853778,0.5816123224794865,26669122,0.014003,14003.0
ESP,47486935,0.5294449776411057,25141719,0.013201,13201.0
USA,336997624,0.06746820639818907,22736625,0.011938,11938.0
COD,95894118,0.21775042032822967,20880984,0.010964,10964.0
COL,51516562,0.4021777091547847,20718812,0.010878,10878.0
CMR,27198628,0.5238197762519121,14247179,0.007481,7481.0
ROU,19328560,0.6804176457226276,13151493,0.006905,6905.0
POL,38307726,0.3236053753644228,12396586,0.006509,6509.0
TUN,12262946,1.0,12262946,0.006439,6439.0
ECU,17797737,0.6102028880268335,10860230,0.005702,5702.0
TWN,23859912,0.4421194746391848,10548931,0.005539,5539.0
SWE,10467097,1.0,10467097,0.005496,5496.0
GRC,10445365,1.0,10445365,0.005484,5484.0
ZAF,59392255,0.15178014570847154,9014565,0.004733,4733.0
CZE,10510750,0.7928132936358452,8333062,0.004375,4375.0
HND,10278346,0.7337328344583511,7541559,0.00396,3960.0
BFA,22100683,0.31336073763668537,6925486,0.003636,3636.0
NIC,6850540,1.0,6850540,0.003597,3597.0
CIV,27478249,0.20453981356695294,5620395,0.002951,2951.0
TGO,8644829,0.6084384331479669,5259846,0.002762,2762.0
LAO,7425058,0.6729850517585874,4996953,0.002624,2624.0
DOM,11117874,0.43602269887924194,4847645,0.002545,2545.0
THA,71601103,0.06476685754023492,4637378,0.002435,2435.0
JOR,11148278,0.3928378652781248,4379465,0.002299,2299.0
SLE,8420641,0.4801485640928149,4043158,0.002123,2123.0
ISR,9291000,0.41409297194331884,3847337,0.00202,2020.0
KHM,16589023,0.23162371385842562,3842411,0.002017,2017.0000000000002
ERI,3620312,0.9593328982591629,3473084,0.001824,1824.0
BIH,3270943,1.0,3270943,0.001717,1717.0
HRV,4060135,0.7482086680829525,3037828,0.001595,1595.0
BEL,11611420,0.2292548045516014,2661973,0.001398,1398.0
KOR,51830139,0.04931575246155262,2556042,0.001342,1342.0
SSD,10748272,0.2066719033755362,2221365,0.001166,1166.0
AUT,8922082,0.23116682656109333,2062489,0.001083,1083.0
HTI,11447569,0.17079265415668488,1955160,0.001027,1027.0
SVK,5447622,0.34544973261654377,1881879,0.000988,988.0
MYS,33573874,0.04552792775211856,1528548,0.000803,803.0
TTO,1525663,1.0,1525663,0.000801,801.0
MOZ,32077072,0.04733632528223097,1518410,0.000797,797.0
SVN,2119410,0.6778667829930782,1436677,0.000754,754.0
